[Goku]
Start 2 386 94 162 6
Ready 2 552 107 165 8
Idle 2 884 108 126 6
Block 2 1014 97 133 3
Jump 2 1412 106 165 8
Punch 2 2251 145 127 4
Uppercut 2 2685 115 179 6
Kick 2 2382 161 159 6
LowSweep 2 2868 177 106 6
Bicycle 2 3579 134 151 6
Hurt 2 6375 96 129 4
Win 2 8046 66 163 7
MovR 2 8697 96 148 2
MovL 2 8547 109 146 2

[Roku]
Start 2 386 94 162 6
Ready 2 552 107 165 8
Idle 2 884 108 126 6
Block 2 1014 97 133 3
Jump 2 1412 106 165 8
Punch 2 2251 145 127 4
Uppercut 2 2685 115 179 6
Kick 2 2382 161 159 6
LowSweep 2 2868 177 106 6
Bicycle 2 3579 134 151 6
Hurt 2 6375 96 129 4
Win 2 8046 66 163 7
MovR 2 8697 96 148 2
MovL 2 8547 109 146 2
